MonthlyIncomeID,StudentID,MonthlyIncome,Month,Year
1,4900,1436,July,2023
2,4903,1261,February,2021
3,2431,1576,February,2021
4,948,1678,January,2023
5,83,1231,October,2020
6,1497,1182,October,2022
7,331,1884,December,2023
8,2850,1367,May,2021
9,2834,1304,June,2022
10,2096,955,December,2022
11,612,1971,May,2022
12,3891,1727,May,2023
13,2230,529,April,2022
14,4064,942,August,2021
15,4072,1865,February,2023
16,104,607,July,2021
17,1612,570,June,2023
18,452,1254,May,2022
19,3887,791,February,2021
20,3618,1604,March,2020
21,1346,1950,November,2020
22,2015,1164,October,2022
23,757,1551,May,2020
24,3959,505,November,2023
25,3266,979,May,2022
26,189,1933,November,2020
27,936,1723,July,2023
28,300,1139,July,2021
29,4848,1760,January,2021
30,3331,1037,February,2023
31,41,906,May,2021
32,553,1443,June,2023
33,1168,1539,September,2021
34,540,1001,July,2023
35,5355,931,February,2023
36,3698,1438,March,2022
37,5057,1153,January,2022
38,1899,1035,September,2021
39,1180,1573,February,2021
40,3498,1504,January,2023
41,2593,1576,October,2023
42,2939,901,September,2020
43,4829,636,June,2023
44,1225,1033,December,2020
45,5482,1240,September,2023
46,4492,1793,August,2022
47,4404,580,June,2020
48,2097,1049,November,2022
49,786,1985,June,2020
50,985,661,May,2021
51,397,1410,June,2023
52,920,1567,May,2021
53,150,1420,April,2020
54,3179,1615,July,2022
55,2144,1282,September,2022
56,5020,1184,July,2023
57,2469,594,November,2021
58,2230,644,April,2021
59,2371,1139,September,2023
60,4517,884,October,2022
61,2135,1188,April,2023
62,2473,927,January,2022
63,1225,632,August,2022
64,5355,696,March,2021
65,2782,1158,August,2020
66,4701,1414,September,2022
67,1045,1909,June,2020
68,2013,789,August,2021
69,4486,1952,July,2022
70,346,1352,October,2022
71,4941,669,July,2020
72,5482,916,January,2022
73,2774,1307,November,2022
74,1662,507,June,2022
75,3764,1255,August,2022
76,3204,1577,October,2022
77,3123,781,June,2020
78,860,690,April,2021
79,3934,1481,February,2021
80,4002,1322,June,2021
81,1841,797,February,2021
82,1820,788,August,2023
83,5118,1378,November,2021
84,3586,1021,May,2020
85,1367,1139,February,2020
86,2075,1761,April,2023
87,770,1949,May,2020
88,3100,1837,August,2022
89,5093,805,April,2020
90,3136,608,March,2020
91,1610,1300,May,2020
92,1656,588,July,2023
93,1048,1292,February,2023
94,4163,1098,August,2021
95,3519,1238,September,2021
96,4579,1066,November,2021
97,4981,1107,April,2021
98,781,998,September,2023
99,3642,1063,October,2023
100,4210,1163,December,2021
101,159,1311,December,2022
102,2063,1708,July,2022
103,5014,887,November,2022
104,4638,1467,August,2023
105,448,1021,December,2020
106,3214,638,October,2021
107,3806,1781,April,2021
108,1586,1928,March,2020
109,1220,1734,January,2021
110,3818,1138,April,2023
111,5436,1825,June,2020
112,3813,793,October,2023
113,2041,523,December,2022
114,3098,1970,December,2022
