SpendingID,StudentID,CategoryID,Month,Year,Amount
1,4036,1,January,2023,242
2,4870,1,October,2021,315
3,3746,5,April,2023,784
4,5075,3,June,2020,736
5,796,1,February,2020,594
6,4440,1,July,2021,295
7,2808,1,July,2023,216
8,3471,5,September,2020,312
9,1778,2,December,2020,536
10,1453,4,October,2023,403
11,2790,3,April,2021,914
12,3730,2,March,2023,487
13,4979,1,November,2022,881
14,2319,3,September,2023,838
15,3697,3,December,2020,670
16,5168,3,February,2022,291
17,771,2,May,2021,915
18,4655,1,December,2023,105
19,4601,5,May,2023,569
20,357,5,September,2020,623
21,544,4,May,2022,137
22,933,4,May,2020,552
23,4073,1,December,2021,723
24,4570,1,December,2023,762
25,2310,5,May,2020,581
26,2751,4,December,2023,472
27,1578,5,October,2021,831
28,3736,5,March,2021,754
29,3726,2,June,2020,670
30,1945,2,December,2022,122
31,2454,5,May,2020,821
32,3543,4,June,2021,630
33,2100,2,November,2022,419
34,2765,3,April,2021,891
35,461,2,May,2022,841
36,2954,4,August,2022,619
37,4015,2,March,2023,939
38,833,5,November,2021,627
39,2984,5,July,2020,346
40,3987,4,April,2021,153
41,3617,3,September,2022,721
42,4665,5,January,2021,522
43,5053,5,June,2021,298
44,2039,1,May,2020,278
45,1694,5,September,2020,953
46,5145,1,September,2020,816
47,5363,4,September,2020,614
48,2979,3,September,2021,633
49,2670,1,June,2021,115
50,5482,3,March,2021,634
51,1992,4,April,2023,387
52,905,5,April,2020,765
53,1822,1,October,2020,415
54,2941,2,August,2020,983
55,3315,2,April,2021,805
56,3321,1,May,2021,586
57,2250,3,May,2023,494
58,929,3,March,2023,304
59,4559,1,July,2023,330
60,4784,4,December,2021,182
61,1066,2,September,2022,474
62,3111,3,March,2021,557
63,1791,5,August,2020,761
64,1411,1,January,2022,197
65,399,4,August,2021,108
66,4731,1,September,2021,480
67,689,3,March,2021,836
68,5142,5,April,2023,250
69,1429,5,March,2023,742
70,2744,3,May,2021,513
71,2165,5,March,2020,793
72,3776,3,June,2021,650
73,3798,5,September,2022,130
74,2755,4,March,2021,179
75,1817,4,May,2022,460
76,4172,2,November,2023,870
77,551,3,December,2022,755
78,2930,2,November,2023,362
79,3924,4,October,2023,821
80,1961,5,August,2022,337
81,2088,5,August,2023,151
82,1338,3,May,2023,310
83,1214,4,May,2021,592
84,1918,3,July,2023,369
85,5402,1,January,2023,957
86,5052,5,May,2020,517
87,4101,4,January,2020,287
88,1893,3,July,2022,209
89,4813,4,December,2020,982
90,2224,4,January,2021,215
91,687,1,September,2023,775
92,1559,1,September,2021,787
93,3682,1,November,2021,393
94,1714,3,November,2021,309
95,1431,1,June,2022,185
96,1017,4,January,2023,247
97,4514,2,May,2023,919
98,5489,3,February,2023,647
99,645,3,November,2021,303
100,3464,5,July,2022,974
101,4214,2,May,2022,412
102,5217,2,June,2021,811
103,278,1,November,2020,233
104,5458,4,November,2022,847
105,1304,5,February,2023,458
106,2515,4,November,2020,788
107,1526,5,March,2023,352
108,5257,4,March,2022,509
109,5312,2,September,2021,435
110,4042,2,October,2023,831
111,47,2,May,2021,803
112,319,4,July,2021,678
113,4479,5,July,2022,503
114,3875,5,March,2020,947
115,161,2,October,2023,254
116,1296,1,March,2023,866
117,1833,2,August,2023,538
118,1243,3,March,2021,598
119,1629,4,September,2021,838
120,3799,5,December,2021,985
121,1707,3,May,2020,629
122,3304,2,August,2022,430
123,4891,2,June,2023,402
124,566,1,September,2020,335
125,264,3,December,2020,262
126,3384,2,December,2021,434
127,307,5,November,2020,493
128,5036,3,March,2022,109
129,4195,3,March,2022,483
130,5476,2,August,2023,802
131,3990,5,November,2021,750
132,2005,1,February,2023,581
133,2218,3,September,2023,195
134,1066,5,February,2023,902
135,4594,3,January,2021,454
136,3454,3,August,2022,771
137,5189,4,July,2020,459
138,3094,1,July,2023,350
139,5038,2,April,2020,557
140,1615,5,July,2022,590
141,4602,3,July,2020,984
142,4067,5,March,2022,737
143,1238,4,May,2020,335
144,4537,3,May,2020,311
145,3955,2,October,2021,863
146,2073,4,February,2020,153
147,128,5,November,2023,562
148,4501,3,April,2020,696
149,887,5,August,2022,651
150,3851,3,May,2022,120
151,246,3,May,2023,103
152,501,3,January,2023,421
153,3926,1,June,2023,619
154,4368,2,August,2021,442
155,996,2,January,2020,374
156,5433,4,July,2023,279
157,1226,4,April,2020,923
158,846,3,March,2023,720
159,3340,1,November,2023,595
160,1848,1,November,2023,146
161,2008,2,March,2023,286
162,1669,4,April,2020,797
163,2902,4,April,2020,993
164,2735,2,January,2020,364
165,1450,5,June,2022,478
166,2330,5,September,2021,414
167,4094,5,June,2020,761
168,3455,4,February,2021,335
169,4190,3,November,2023,543
170,841,1,November,2020,603
171,5150,2,December,2023,304
172,758,5,July,2020,705
173,266,1,November,2022,342
174,5029,1,February,2020,856
175,4452,2,August,2023,329
176,2407,3,December,2023,626
177,989,2,January,2023,684
178,2753,3,September,2020,484
179,2599,3,March,2023,664
180,2000,2,January,2022,338
181,1593,4,October,2020,334
182,988,5,September,2020,818
183,4060,4,June,2023,759
184,4355,4,February,2023,940
185,834,1,October,2023,212
186,596,5,May,2020,209
187,3133,2,June,2023,111
188,5295,5,June,2021,930
189,4596,5,October,2020,516
190,1802,3,May,2023,356
191,2209,3,April,2020,925
192,4067,5,December,2023,367
193,4290,5,April,2021,119
194,2299,5,February,2023,627
195,2606,1,October,2023,716
196,3545,3,May,2023,109
197,2433,1,October,2023,336
198,1141,1,January,2020,351
199,5305,4,September,2023,830
200,5266,1,March,2022,805
201,937,2,April,2022,539
202,679,1,December,2021,796
203,1429,1,January,2022,717
204,5221,3,June,2022,475
205,2913,5,May,2020,358
206,2784,2,June,2023,222
207,1005,3,June,2023,549
208,47,4,September,2021,987
209,5428,3,July,2021,487
210,528,2,March,2021,955
211,2247,4,June,2023,371
212,1881,5,February,2023,845
213,3002,4,April,2023,506
214,3702,5,January,2021,872
215,4359,5,October,2023,914
216,4301,3,June,2020,611
217,2027,1,April,2021,926
218,2816,3,February,2022,472
219,1627,4,March,2023,574
220,2473,4,August,2020,895
221,5313,3,February,2021,616
222,396,4,February,2020,613
223,5140,2,March,2021,803
224,5260,1,April,2020,498
225,5446,5,February,2022,705
226,5412,5,June,2020,557
227,4347,1,March,2020,722
228,1525,1,March,2021,835
229,4706,3,April,2023,156
230,2414,5,August,2020,443
231,1771,4,February,2020,699
232,3079,1,December,2022,799
233,5066,4,February,2020,756
234,252,5,February,2022,560
235,2168,3,January,2022,983
236,1034,5,October,2022,133
237,5483,1,March,2020,463
238,151,3,December,2021,391
239,5193,5,May,2021,797
240,4809,4,December,2023,791
241,895,5,September,2020,442
242,4270,2,January,2023,620
243,4172,2,June,2022,729
244,4039,3,April,2021,318
245,690,5,May,2020,644
246,1781,1,November,2021,827
247,1972,4,May,2022,150
248,2757,1,June,2023,708
249,943,3,December,2021,296
250,5437,2,September,2021,698
251,4535,4,June,2023,841
252,1653,2,July,2022,441
253,324,3,April,2023,681
254,1612,4,January,2022,991
255,3541,2,February,2022,315
256,3569,4,September,2020,611
257,3444,2,September,2023,226
258,4698,2,April,2023,565
259,4683,5,August,2021,357
260,4995,4,March,2023,468
261,5373,1,June,2020,441
262,137,2,May,2023,202
263,1840,4,March,2021,866
264,1728,2,July,2021,728
265,2563,4,March,2020,833
266,1465,5,November,2020,362
267,2239,5,January,2023,720
268,5378,5,June,2021,959
269,4956,5,January,2022,878
270,331,3,June,2023,474
271,4057,3,August,2023,952
272,904,2,July,2023,737
273,3632,1,April,2023,102
274,1946,1,March,2021,119
275,1986,3,July,2020,137
276,746,5,July,2022,192
277,4776,3,August,2022,678
278,1590,5,February,2021,500
279,891,4,April,2023,653
280,3578,3,March,2023,244
281,967,2,April,2023,918
282,29,2,October,2021,776
283,1444,1,September,2020,436
284,1393,5,March,2022,772
285,1653,5,July,2022,559
286,1956,1,December,2021,302
287,2220,5,November,2021,871
