StudentID,Age,Gender,YearInSchool,Major
1,22,Male,Freshman,Engineering
2,23,Male,Senior,Business
3,18,Female,Junior,Arts
4,21,Other,Senior,Engineering
5,21,Male,Sophomore,Arts
6,21,Male,Junior,Arts
7,19,Female,Senior,Science
8,21,Other,Junior,Engineering
9,23,Other,Senior,Science
10,20,Other,Freshman,Arts
11,22,Other,Freshman,Science
12,24,Female,Sophomore,Business
13,18,Female,Senior,Science
14,18,Male,Freshman,Science
15,22,Male,Freshman,Arts
16,20,Female,Junior,Arts
17,19,Other,Junior,Science
18,24,Male,Sophomore,Engineering
19,24,Male,Freshman,Science
20,18,Other,Freshman,Business
21,19,Male,Freshman,Science
22,23,Female,Senior,Engineering
23,19,Female,Junior,Science
24,23,Male,Senior,Science
25,18,Female,Junior,Engineering
26,19,Male,Junior,Business
27,22,Male,Junior,Engineering
28,21,Female,Freshman,Arts
29,18,Female,Sophomore,Business
30,21,Female,Senior,Business
31,23,Male,Sophomore,Engineering
32,24,Female,Senior,Business
33,18,Other,Senior,Science
34,20,Male,Freshman,Science
35,21,Male,Freshman,Engineering
36,18,Other,Freshman,Arts
37,19,Other,Junior,Engineering
38,21,Male,Junior,Science
39,23,Other,Sophomore,Engineering
40,21,Female,Freshman,Science
41,21,Female,Junior,Business
42,24,Male,Senior,Business
43,18,Male,Senior,Engineering
44,19,Female,Senior,Science
45,19,Male,Sophomore,Arts
46,19,Female,Sophomore,Engineering
47,18,Other,Senior,Arts
48,20,Other,Junior,Engineering
49,22,Other,Sophomore,Business
50,21,Male,Freshman,Arts
51,24,Other,Senior,Engineering
52,21,Female,Junior,Science
53,20,Female,Sophomore,Arts
54,22,Female,Senior,Arts
55,20,Female,Senior,Engineering
56,18,Female,Junior,Science
57,18,Other,Sophomore,Science
58,22,Female,Freshman,Science
59,23,Other,Freshman,Arts
60,23,Female,Sophomore,Engineering
61,24,Male,Senior,Engineering
62,18,Other,Sophomore,Arts
63,22,Male,Freshman,Science
64,19,Other,Sophomore,Engineering
65,22,Other,Senior,Business
66,19,Male,Senior,Science
67,20,Female,Junior,Science
68,20,Female,Senior,Science
69,18,Female,Junior,Arts
70,19,Female,Junior,Business
71,19,Other,Sophomore,Business
72,19,Female,Freshman,Science
73,19,Other,Junior,Business
74,21,Other,Senior,Business
75,24,Other,Sophomore,Business
76,21,Male,Freshman,Science
77,24,Male,Junior,Science
78,20,Female,Senior,Business
79,21,Other,Senior,Science
80,18,Female,Senior,Engineering
81,24,Male,Sophomore,Science
82,21,Male,Junior,Engineering
83,23,Male,Senior,Arts
84,22,Other,Junior,Science
85,19,Male,Senior,Business
86,20,Male,Freshman,Science
87,22,Female,Sophomore,Engineering
88,21,Female,Senior,Business
89,22,Female,Senior,Arts
90,24,Female,Junior,Engineering
91,22,Male,Freshman,Engineering
